2019-08-05 18:33:49 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:33:53 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:33:53 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 18:38:20 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_06_38_20_PM/report.html
2019-08-05 18:38:24 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:38:32 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:38:41 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:38:49 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:38:57 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:01 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:04 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:13 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:21 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:29 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:37 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:41 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:39:42 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 18:54:43 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_06_54_43_PM/report.html
2019-08-05 18:54:47 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:54:58 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:55:08 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:55:24 [main] ERROR BasePage:83 - Failed to click on :: Vehicle Contracts
2019-08-05 18:55:24 [main] ERROR BasePage:84 - org.openqa.selenium.TimeoutException: Expected condition failed: waiting for visibility of element located by By.xpath: //span[normalize-space()='Vehicle Contracts' and contains(@class, 'title title-level-2')] (tried for 8 second(s) with 500 milliseconds interval)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'johnzons-Air.fios-router.home', ip: 'fe80:0:0:0:c30:5a13:5e3e:c4e9%en0', os.name: 'Mac OS X', os.arch: 'x86_64', os.version: '10.14.5', java.version: '1.8.0_181'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 75.0.3770.142, chrome: {chromedriverVersion: 75.0.3770.8 (681f24ea911fe7..., userDataDir: /var/folders/zv/pykdrfjn2xb...}, goog:chromeOptions: {debuggerAddress: localhost:60878}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: MAC, platformName: MAC, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 5b0d7ea5961074ced7cf4885bd55deb9
2019-08-05 18:56:15 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:56:26 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:56:36 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:56:44 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 18:57:40 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_06_57_40_PM/report.html
2019-08-05 18:57:45 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:57:54 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:58:07 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:58:21 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:58:30 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:58:40 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:58:47 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 18:59:14 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_06_59_13_PM/report.html
2019-08-05 18:59:19 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:59:28 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:59:40 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:59:53 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 19:00:03 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 19:00:13 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 19:00:20 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 20:29:49 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_08_29_49_PM/report.html
2019-08-05 20:29:54 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:30:03 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:30:12 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:30:21 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:30:29 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:30:33 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:30:34 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 20:44:31 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_08_44_30_PM/report.html
2019-08-05 20:44:35 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:44:46 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:45:01 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:45:12 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:45:27 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:45:37 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:45:44 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:45:51 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:45:57 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:46:00 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-05 20:46:01 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-06 14:53:02 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0806_02_53_02_PM/report.html
2019-08-06 14:53:08 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:53:21 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:53:33 [main] ERROR BasePage:83 - Failed to click on :: Calendar Events
2019-08-06 14:53:33 [main] ERROR BasePage:84 - org.openqa.selenium.TimeoutException: Expected condition failed: waiting for visibility of element located by By.xpath: //span[normalize-space()='Calendar Events' and contains(@class, 'title title-level-2')] (tried for 8 second(s) with 500 milliseconds interval)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'johnzons-Air.fios-router.home', ip: 'fe80:0:0:0:c30:5a13:5e3e:c4e9%en0', os.name: 'Mac OS X', os.arch: 'x86_64', os.version: '10.14.5', java.version: '1.8.0_181'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 75.0.3770.142, chrome: {chromedriverVersion: 75.0.3770.8 (681f24ea911fe7..., userDataDir: /var/folders/zv/pykdrfjn2xb...}, goog:chromeOptions: {debuggerAddress: localhost:63955}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: MAC, platformName: MAC, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 161b2fa4be303008db2be08b922beaf6
2019-08-06 14:54:37 [main] ERROR BasePage:52 - Loader mask doesn't present.
2019-08-06 14:54:45 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:54:56 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:55:10 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:55:22 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:55:30 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:55:38 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:55:45 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:55:48 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:55:49 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-06 14:58:11 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0806_02_58_11_PM/report.html
2019-08-06 14:58:15 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 14:58:30 [main] ERROR BasePage:83 - Failed to click on :: Calendar Events
2019-08-06 14:58:30 [main] ERROR BasePage:84 - org.openqa.selenium.TimeoutException: Expected condition failed: waiting for visibility of element located by By.xpath: //span[normalize-space()='Calendar Events' and contains(@class, 'title title-level-2')] (tried for 10 second(s) with 500 milliseconds interval)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'johnzons-Air.fios-router.home', ip: 'fe80:0:0:0:c30:5a13:5e3e:c4e9%en0', os.name: 'Mac OS X', os.arch: 'x86_64', os.version: '10.14.5', java.version: '1.8.0_181'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 75.0.3770.142, chrome: {chromedriverVersion: 75.0.3770.8 (681f24ea911fe7..., userDataDir: /var/folders/zv/pykdrfjn2xb...}, goog:chromeOptions: {debuggerAddress: localhost:64235}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: MAC, platformName: MAC, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: ee9ff278d950d4568195b0a8bc274e5d
2019-08-06 14:59:46 [main] ERROR BasePage:52 - Loader mask doesn't present.
2019-08-06 14:59:54 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:00:09 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:00:21 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:00:35 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:00:47 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:00:55 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:01:03 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:01:11 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:01:14 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:01:15 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-06 15:02:03 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0806_03_02_03_PM/report.html
2019-08-06 15:02:07 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:02:19 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:02:33 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:02:46 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:03:01 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:03:12 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:03:21 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:03:29 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:03:36 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:03:40 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:03:41 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-06 15:06:40 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0806_03_06_40_PM/report.html
2019-08-06 15:06:44 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:06:56 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:07:11 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:07:22 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:07:37 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:07:48 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:07:56 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:08:04 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:08:12 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:08:15 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-06 15:08:16 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-09 17:12:24 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0809_05_12_24_PM/report.html
2019-08-09 17:12:33 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-09 17:12:40 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-09 17:20:14 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0809_05_20_14_PM/report.html
2019-08-09 17:20:18 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-09 17:20:25 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-09 17:21:33 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0809_05_21_33_PM/report.html
2019-08-09 17:21:37 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-09 17:21:43 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-09 17:22:05 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0809_05_22_05_PM/report.html
2019-08-09 17:22:09 [main] INFO  TestBase:72 - URL: http://qa3.vytrack.com/user/login
2019-08-09 17:22:25 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
